# index, sex, race, grade, school, _pos
256,2,1,12,1,"array([21.08630202, 16.61117694])"
257,1,1,12,1,"array([21.83677683,  9.44523019])"
258,1,1,12,1,"array([23.67650821, 10.41251269])"
259,1,1,9,1,"array([24.99469487,  9.95089906])"
260,1,1,10,1,"array([23.79939184,  9.13506318])"
261,1,1,10,1,"array([24.94661899,  7.99298813])"
262,1,1,10,1,"array([24.42518475, 10.96414599])"
263,2,2,10,1,"array([25.22977812,  8.14471563])"
264,1,1,9,1,"array([25.02615917,  9.37859644])"
265,2,1,9,1,"array([24.30790708,  9.64198707])"
266,1,2,9,1,"array([26.48716628,  8.02650706])"
267,1,1,9,1,"array([24.32714969, 10.20297472])"
268,2,1,9,1,"array([23.31922417,  9.09931781])"
269,2,5,10,1,"array([23.0318838 , 10.65550539])"
270,2,1,12,1,"array([22.09843063, 11.08405593])"
271,2,1,12,1,"array([22.23101446, 10.19259734])"
272,1,1,12,1,"array([22.25346245, 10.52791071])"
273,1,3,9,1,"array([24.30166643, 10.35018455])"
274,1,1,10,1,"array([23.89997354,  9.17314606])"
275,1,1,10,1,"array([23.67510971,  8.7639187 ])"
276,1,4,12,1,"array([23.17917695,  8.73100124])"
277,2,1,10,1,"array([26.20737395,  7.61760045])"
278,1,2,11,1,"array([25.1448287,  7.7178319])"
279,1,2,9,1,"array([21.89599909, 16.96675847])"
280,2,1,9,1,"array([25.05658677,  9.83538979])"
281,2,1,12,1,"array([23.2673642 ,  8.06519563])"
282,2,2,11,1,"array([20.30090719, 16.16695097])"
283,1,1,12,1,"array([22.80944274, 10.76391138])"
284,1,1,11,1,"array([22.81079428, 10.48349446])"
285,2,1,9,1,"array([24.55963088,  8.78831265])"
286,1,2,12,1,"array([25.80610156,  8.16339643])"
287,1,1,12,1,"array([18.05445703, 14.13150306])"
288,1,1,9,1,"array([24.57830778,  9.62941348])"
289,1,2,12,1,"array([25.06605656,  7.47723104])"
290,2,1,12,1,"array([23.26580758,  8.80579134])"
291,1,2,10,1,"array([24.66193028,  8.54810922])"
292,0,3,9,1,"array([24.38753686, 10.36577443])"
293,1,1,10,1,"array([23.3740168 , 10.10978414])"
294,2,2,9,1,"array([26.07614066,  7.78595261])"
295,2,1,11,1,"array([23.68988605,  7.82195869])"
296,1,1,12,1,"array([32.45490387,  6.75512791])"
297,2,2,9,1,"array([25.5551604 ,  8.52274112])"
298,1,1,11,1,"array([23.18484829,  8.32471443])"
299,2,1,11,1,"array([22.71511149,  8.90034873])"
300,2,1,11,1,"array([22.88710006,  9.898842  ])"
301,2,1,9,1,"array([24.91623851, 10.03249335])"
302,1,1,10,1,"array([24.21047128,  7.93351289])"
303,1,5,12,1,"array([22.54114206, 10.00771779])"
304,1,1,10,1,"array([22.78119771,  9.29836531])"
305,2,1,10,1,"array([24.37467469,  8.52427002])"
306,2,3,12,1,"array([22.70489414,  9.78042613])"
307,1,2,9,1,"array([24.01373669, 18.08305064])"
308,1,1,10,1,"array([21.8358358 ,  8.33660926])"
309,2,1,11,1,"array([22.11416699,  9.00421275])"
310,2,5,12,1,"array([23.44653679, 11.33419445])"
311,1,1,12,1,"array([23.01267966,  7.76116047])"
312,1,1,9,1,"array([24.86923713, 10.19484118])"
313,1,5,10,1,"array([24.09449079,  7.92972906])"
314,2,3,12,1,"array([22.04648204, 10.84243089])"
315,1,3,10,1,"array([22.14718699,  9.22745529])"
316,2,1,9,1,"array([23.90987904,  9.71417447])"
317,1,1,11,1,"array([25.42881975,  9.98577708])"
318,2,1,11,1,"array([22.98749767, 10.9609785 ])"
319,1,1,12,1,"array([23.41841821, 10.00571451])"
320,1,1,11,1,"array([23.22054879, 10.64650157])"
321,0,0,0,1,"array([24.84168442,  8.91075208])"
322,2,1,12,1,"array([24.11023241,  8.15606909])"
323,2,1,11,1,"array([22.35364007,  8.87464039])"
324,2,1,12,1,"array([23.05410166,  8.86054638])"
325,2,1,10,1,"array([22.92339144,  8.60502647])"
326,2,1,10,1,"array([24.0781178 ,  9.02017261])"
327,1,1,12,1,"array([22.4785127 ,  9.90249587])"
328,1,1,12,1,"array([22.76060098,  8.23104546])"
329,1,1,10,1,"array([23.61802828,  9.18972831])"
330,1,1,10,1,"array([23.68353354,  8.66260654])"
331,1,2,9,1,"array([25.1311306,  9.2021532])"
332,2,1,12,1,"array([23.5391509 , 10.18786342])"
333,1,5,9,1,"array([26.54096758,  7.8027364 ])"
334,2,1,10,1,"array([24.95900712,  8.53338102])"
335,1,1,12,1,"array([22.19471784, 10.06819508])"
336,1,1,11,1,"array([22.91063834,  9.32387405])"
337,2,1,10,1,"array([23.67827516,  8.85648596])"
338,2,1,12,1,"array([21.61333329, 10.25748149])"
339,1,5,11,1,"array([23.86184063, 10.64360231])"
340,2,1,9,1,"array([24.4553057 ,  9.73108945])"
341,1,1,9,1,"array([19.99516626,  2.97009035])"
342,2,1,10,1,"array([24.65473253,  8.45737233])"
343,1,1,12,1,"array([22.34746628,  8.77606043])"
344,1,3,12,1,"array([23.59637318, 10.63226355])"
345,2,1,9,1,"array([24.41567149, 10.58699615])"
346,2,5,10,1,"array([24.58654064,  8.58058253])"
347,2,1,9,1,"array([24.04662692, 11.19789726])"
348,2,1,11,1,"array([22.81682592, 10.10275944])"
349,0,0,0,1,"array([24.62544955,  8.98067392])"
350,2,1,12,1,"array([23.51611726,  8.30519529])"
351,1,1,12,1,"array([22.97718373, 10.07255755])"
352,1,1,10,1,"array([24.02126262,  8.4767202 ])"
353,2,1,10,1,"array([23.71138175,  9.52353961])"
354,2,1,9,1,"array([24.57496057, 10.50435313])"
355,1,1,10,1,"array([23.85874464, 10.03682589])"
356,2,3,9,1,"array([25.54648078,  8.22963728])"
357,1,1,9,1,"array([24.08718105,  9.68281232])"
358,1,1,10,1,"array([23.68359912, 10.25809145])"
359,1,1,9,1,"array([24.61801598, 11.26563764])"
360,2,1,11,1,"array([22.96377754,  8.24394756])"
361,1,2,11,1,"array([27.56131879,  8.10533217])"
362,1,1,9,1,"array([24.4949471 ,  9.49208137])"
363,2,1,12,1,"array([22.57061365,  8.80148355])"
364,1,1,9,1,"array([24.37090476,  9.69357698])"
365,1,1,9,1,"array([25.08373678, 10.67525183])"
366,2,5,10,1,"array([26.34729633,  7.23581357])"
367,2,1,10,1,"array([21.94590815,  8.61408876])"
368,1,2,11,1,"array([24.37887306,  8.63499387])"
369,1,1,12,1,"array([24.24878691,  8.52591872])"
370,2,1,11,1,"array([23.92067767,  8.91290295])"
371,2,1,10,1,"array([23.69212811,  9.09337584])"
372,1,1,9,1,"array([25.10945871, 10.2842254 ])"
373,1,1,11,1,"array([22.15763644,  9.54009194])"
374,2,1,11,1,"array([23.31235982,  9.52712116])"
375,2,1,10,1,"array([23.63032597, 10.91605076])"
376,2,1,9,1,"array([24.0557688 , 10.07024126])"
377,2,1,10,1,"array([24.0608798 ,  8.90350772])"
378,2,2,11,1,"array([24.86469403,  6.87532828])"
379,2,1,12,1,"array([22.64482955,  9.99176164])"
380,2,2,11,1,"array([24.39980598,  6.45009759])"
381,2,1,11,1,"array([23.49146946, 10.28435999])"
382,2,2,11,1,"array([24.99306533,  7.26670425])"
383,1,1,10,1,"array([28.32899051, 17.1072449 ])"
384,1,1,10,1,"array([24.91593293,  8.38236477])"
385,2,2,11,1,"array([25.57200295,  7.7493602 ])"
386,1,5,10,1,"array([23.8215349 ,  8.96696493])"
387,1,2,11,1,"array([32.85386718, 11.41985433])"
388,1,1,10,1,"array([24.7128173 ,  9.32234627])"
389,2,1,11,1,"array([23.72614639,  8.95627766])"
390,2,1,9,1,"array([24.80536629,  9.52415946])"
391,2,2,10,1,"array([25.54089047,  9.16976931])"
392,2,3,9,1,"array([24.29824129,  9.73767412])"
393,1,1,12,1,"array([22.01845837,  8.50894963])"
394,2,5,10,1,"array([24.31982553,  8.06076439])"
395,1,1,10,1,"array([23.53908298, 10.41721076])"
396,2,1,11,1,"array([23.09402888,  9.53661428])"
397,1,2,12,1,"array([25.26318379,  7.37943635])"
398,1,1,11,1,"array([22.61769004,  8.97688152])"
399,1,1,11,1,"array([23.4500337 ,  9.80745164])"
400,2,1,11,1,"array([24.15945509,  9.40757921])"
401,1,1,12,1,"array([22.11997858, 10.24760686])"
402,2,1,10,1,"array([23.62063826,  8.4564057 ])"
403,1,3,12,1,"array([32.80578182,  8.24979563])"
404,2,1,9,1,"array([24.97755652,  9.65295554])"
405,2,1,9,1,"array([23.87425325, 10.429656  ])"
406,2,1,11,1,"array([22.75269549, 10.0186566 ])"
407,1,1,11,1,"array([23.88293496,  9.87126991])"
408,2,1,9,1,"array([23.75321401, 10.56370461])"
409,1,1,12,1,"array([23.98320915,  9.37914547])"
410,2,1,10,1,"array([25.53242358,  7.48562048])"
411,1,2,10,1,"array([25.79227313,  8.31111558])"
412,1,1,9,1,"array([24.09698571, 10.34321448])"
413,2,1,12,1,"array([26.7936194 , 17.53184146])"
414,2,1,11,1,"array([22.59844309,  9.83433215])"
415,1,1,9,1,"array([24.06156932, 10.77342857])"
416,2,1,11,1,"array([22.95517935, 10.21754684])"
417,1,1,11,1,"array([22.72634224, 10.88804086])"
418,1,1,12,1,"array([22.08304628,  7.7649292 ])"
419,2,2,10,1,"array([25.90334677,  7.66798824])"
420,2,1,10,1,"array([23.20016566,  9.39123636])"
421,2,4,9,1,"array([25.62247034,  9.86107243])"
422,1,3,11,1,"array([22.20482298,  8.58591714])"
423,1,1,10,1,"array([22.91520926,  8.72070009])"
424,1,1,9,1,"array([24.99770593, 10.0915027 ])"
